time,text
2125244,TRIALID 90
2125246,FIX_START
2125746,FIX_END
2125762,STIM_START
2126012,STIM_END
2126512,RESP_START
2131312,RESP_END
2131312,TRIAL_END 90
2131312,TRIALID 91
2131314,FIX_START
2131812,FIX_END
2131829,STIM_START
2132079,STIM_END
2132579,RESP_START
2139779,RESP_END
2139779,TRIAL_END 91
2139780,TRIALID 92
2139781,FIX_START
2140280,FIX_END
2140297,STIM_START
2140563,STIM_END
2141063,RESP_START
2147113,RESP_END
2147113,TRIAL_END 92
2147113,TRIALID 93
2147115,FIX_START
2148114,FIX_END
2148131,STIM_START
2148381,STIM_END
2148881,RESP_START
2152664,RESP_END
2152664,TRIAL_END 93
2152664,TRIALID 94
2152666,FIX_START
2153665,FIX_END
2153681,STIM_START
2153948,STIM_END
2154448,RESP_START
2157698,RESP_END
2157698,TRIAL_END 94
2157698,TRIALID 95
2157700,FIX_START
2158698,FIX_END
2158715,STIM_START
2158965,STIM_END
2159465,RESP_START
2164048,RESP_END
2164048,TRIAL_END 95
2164048,TRIALID 96
2164050,FIX_START
2164548,FIX_END
2164565,STIM_START
2164832,STIM_END
2165332,RESP_START
2172766,RESP_END
2172766,TRIAL_END 96
2172766,TRIALID 97
2172768,FIX_START
2173766,FIX_END
2173783,STIM_START
2174050,STIM_END
2174549,RESP_START
2180150,RESP_END
2180150,TRIAL_END 97
2180150,TRIALID 98
2180152,FIX_START
2180650,FIX_END
2180667,STIM_START
2180934,STIM_END
2181434,RESP_START
2185267,RESP_END
2185267,TRIAL_END 98
2185267,TRIALID 99
2185269,FIX_START
2185768,FIX_END
2185784,STIM_START
2186051,STIM_END
2186551,RESP_START
2191101,RESP_END
2191101,TRIAL_END 99
2191101,TRIALID 100
2196290,FIX_START
2197302,FIX_END
2197319,STIM_START
2197585,STIM_END
2198085,RESP_START
2203602,RESP_END
2203602,TRIAL_END 100
2203602,TRIALID 101
2203604,FIX_START
2204103,FIX_END
2204119,STIM_START
2204386,STIM_END
2204886,RESP_START
2208769,RESP_END
2208769,TRIAL_END 101
2208769,TRIALID 102
2208771,FIX_START
2209770,FIX_END
2209787,STIM_START
2210053,STIM_END
2210553,RESP_START
2218937,RESP_END
2218937,TRIAL_END 102
2218937,TRIALID 103
2218939,FIX_START
2219938,FIX_END
2219954,STIM_START
2220204,STIM_END
2220704,RESP_START
2225904,RESP_END
2225904,TRIAL_END 103
2225904,TRIALID 104
2225906,FIX_START
2226405,FIX_END
2226422,STIM_START
2226671,STIM_END
2227172,RESP_START
2231105,RESP_END
2231105,TRIAL_END 104
2231105,TRIALID 105
2231107,FIX_START
2232105,FIX_END
2232122,STIM_START
2232372,STIM_END
2232872,RESP_START
2236289,RESP_END
2236289,TRIAL_END 105
2236289,TRIALID 106
2236291,FIX_START
2236789,FIX_END
2236805,STIM_START
2237056,STIM_END
2237556,RESP_START
2241456,RESP_END
2241456,TRIAL_END 106
2241456,TRIALID 107
2241458,FIX_START
2241957,FIX_END
2241973,STIM_START
2242240,STIM_END
2242740,RESP_START
2245873,RESP_END
2245873,TRIAL_END 107
2245873,TRIALID 108
2245874,FIX_START
2246874,FIX_END
2246890,STIM_START
2247157,STIM_END
2247657,RESP_START
2251490,RESP_END
2251490,TRIAL_END 108
2251490,TRIALID 109
2251492,FIX_START
2252490,FIX_END
2252507,STIM_START
2252757,STIM_END
2253257,RESP_START
2257140,RESP_END
2257140,TRIAL_END 109
2257140,TRIALID 110
2257142,FIX_START
2257641,FIX_END
2257658,STIM_START
2257925,STIM_END
2258424,RESP_START
2261741,RESP_END
2261741,TRIAL_END 110
2261741,TRIALID 111
2261743,FIX_START
2262742,FIX_END
2262758,STIM_START
2263025,STIM_END
2263525,RESP_START
2267209,RESP_END
2267209,TRIAL_END 111
2267209,TRIALID 112
2267211,FIX_START
2268209,FIX_END
2268225,STIM_START
2268476,STIM_END
2268976,RESP_START
2272125,RESP_END
2272125,TRIAL_END 112
2272125,TRIALID 113
2272127,FIX_START
2273126,FIX_END
2273142,STIM_START
2273409,STIM_END
2273909,RESP_START
2278042,RESP_END
2278043,TRIAL_END 113
2278043,TRIALID 114
2278044,FIX_START
2278543,FIX_END
2278560,STIM_START
2278810,STIM_END
2279310,RESP_START
2287344,RESP_END
2287344,TRIAL_END 114
2287344,TRIALID 115
2287346,FIX_START
2288844,FIX_END
2288861,STIM_START
2289111,STIM_END
2289611,RESP_START
2293078,RESP_END
2293078,TRIAL_END 115
2293078,TRIALID 116
2293079,FIX_START
2293578,FIX_END
2293595,STIM_START
2293861,STIM_END
2294361,RESP_START
2301078,RESP_END
2301078,TRIAL_END 116
2301078,TRIALID 117
2301080,FIX_START
2301578,FIX_END
2301595,STIM_START
2301862,STIM_END
2302362,RESP_START
2305396,RESP_END
2305396,TRIAL_END 117
2305396,TRIALID 118
2305398,FIX_START
2305896,FIX_END
2305912,STIM_START
2306179,STIM_END
2306679,RESP_START
2311396,RESP_END
2311396,TRIAL_END 118
2311396,TRIALID 119
2311398,FIX_START
2312897,FIX FAILED
2313897,FIX_SUCCEED
2314147,FIX_END
2314163,STIM_START
2314413,STIM_END
2314913,RESP_START
2319580,RESP_END
2319580,TRIAL_END 119
2319580,TRIALID 120
2325766,FIX_START
2326264,FIX_END
2326281,STIM_START
2326548,STIM_END
2327048,RESP_START
2331198,RESP_END
2331198,TRIAL_END 120
2331198,TRIALID 121
2331200,FIX_START
2332698,FIX_END
2332715,STIM_START
2332981,STIM_END
2333481,RESP_START
2336848,RESP_END
2336848,TRIAL_END 121
2336848,TRIALID 122
2336851,FIX_START
2337349,FIX_END
2337365,STIM_START
2337615,STIM_END
2338115,RESP_START
2342099,RESP_END
2342099,TRIAL_END 122
2342099,TRIALID 123
2342101,FIX_START
2343099,FIX_END
2343116,STIM_START
2343366,STIM_END
2343866,RESP_START
2347516,RESP_END
2347516,TRIAL_END 123
2347516,TRIALID 124
2347518,FIX_START
2348517,FIX_END
2348533,STIM_START
2348800,STIM_END
2349300,RESP_START
2352483,RESP_END
2352483,TRIAL_END 124
2352483,TRIALID 125
2352485,FIX_START
2353484,FIX_END
2353501,STIM_START
2353767,STIM_END
2354267,RESP_START
2361051,RESP_END
2361051,TRIAL_END 125
2361051,TRIALID 126
2361052,FIX_START
2362051,FIX_END
2362068,STIM_START
2362318,STIM_END
2362817,RESP_START
2365601,RESP_END
2365601,TRIAL_END 126
2365601,TRIALID 127
2365603,FIX_START
2366102,FIX_END
2366118,STIM_START
2366368,STIM_END
2366868,RESP_START
2370168,RESP_END
2370168,TRIAL_END 127
2370168,TRIALID 128
2370170,FIX_START
2371669,FIX_END
2371685,STIM_START
2371935,STIM_END
2372435,RESP_START
2375302,RESP_END
2375302,TRIAL_END 128
2375302,TRIALID 129
2375304,FIX_START
2376302,FIX_END
2376319,STIM_START
2376586,STIM_END
2377086,RESP_START
2381186,RESP_END
2381186,TRIAL_END 129
2381186,TRIALID 130
2381188,FIX_START
2381686,FIX_END
2381703,STIM_START
2381953,STIM_END
2382454,RESP_START
2386320,RESP_END
2386320,TRIAL_END 130
2386320,TRIALID 131
2386322,FIX_START
2387320,FIX_END
2387337,STIM_START
2387603,STIM_END
2388104,RESP_START
2392437,RESP_END
2392437,TRIAL_END 131
2392437,TRIALID 132
2392439,FIX_START
2392937,FIX_END
2392954,STIM_START
2393204,STIM_END
2393704,RESP_START
2397554,RESP_END
2397554,TRIAL_END 132
2397554,TRIALID 133
2397556,FIX_START
2398054,FIX_END
2398071,STIM_START
2398321,STIM_END
2398821,RESP_START
2402888,RESP_END
2402888,TRIAL_END 133
2402888,TRIALID 134
2402890,FIX_START
2403388,FIX_END
2403405,STIM_START
2403672,STIM_END
2404172,RESP_START
2407955,RESP_END
2407955,TRIAL_END 134
2407955,TRIALID 135
2407958,FIX_START
2408956,FIX_END
2408972,STIM_START
2409239,STIM_END
2409739,RESP_START
2412973,RESP_END
2412973,TRIAL_END 135
2412973,TRIALID 136
