eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,1480202,1480222,22,2138.5,1258.5,2032.6,1126.1,1.8,112
L,1480414,1480440,28,2029.0,1075.8,2256.9,1117.6,2.0,97
L,1480950,1480972,24,2340.4,1101.7,2062.2,1163.8,2.5,146
L,1483170,1483214,46,1924.9,1155.2,1041.9,1127.7,7.5,224
L,1483438,1483452,16,957.0,1182.1,1026.3,1122.1,0.9,73
L,1484004,1484108,106,1027.2,1117.2,996.5,1274.4,1.9,919
L,1484746,1484790,46,1031.0,1149.7,1819.1,1112.5,6.7,196
L,1487802,1487852,52,1968.6,1147.6,2596.5,1395.4,6.2,167
L,1489772,1489820,50,2737.9,1475.9,2012.9,1203.8,7.0,215
L,1491898,1491944,48,1902.0,1127.0,1112.0,1115.3,6.7,198
L,1492134,1492146,14,1005.5,1169.1,908.6,1197.0,0.9,78
L,1492836,1492880,46,889.3,1201.6,1765.8,1100.0,7.5,223
L,1495012,1495036,26,1970.4,1159.9,2169.6,1266.1,2.1,104
L,1495170,1495188,20,2267.3,1323.8,2473.8,1339.7,1.8,123
L,1495546,1495566,22,2689.6,1372.2,2920.1,1396.5,2.0,122
L,1495986,1496002,18,2985.8,1419.2,2793.9,1414.8,1.6,123
L,1496316,1496496,182,2767.6,1446.1,2968.2,1472.5,1.8,574
L,1496784,1496816,34,2957.6,1411.1,2362.8,1387.4,5.1,227
L,1497042,1497074,34,2289.1,1401.1,2995.0,1459.2,6.1,271
L,1497586,1497618,34,3028.7,1461.2,2304.6,1370.3,6.3,294
L,1498032,1498056,26,2258.0,1373.1,2024.7,1211.1,2.8,144
L,1500764,1500808,46,1984.1,1148.6,2538.6,1335.4,5.3,162
L,1501218,1501320,104,2716.0,1384.0,2231.2,1416.6,4.2,408
L,1501758,1501782,26,2227.0,1365.8,2600.8,1413.7,3.3,176
L,1501832,1501850,20,2762.3,1415.2,3041.7,1464.9,2.5,170
L,1502144,1502174,32,3037.7,1478.2,2341.2,1416.1,6.0,298
L,1502354,1502382,30,2256.0,1424.3,1973.3,1184.5,3.8,163
L,1504486,1504532,48,1902.2,1126.0,1156.9,1126.5,6.3,174
L,1504826,1504840,16,1014.5,1179.1,900.4,1195.1,1.0,74
L,1506826,1506874,50,929.9,1234.1,1837.3,1131.4,7.8,220
L,1509052,1509100,50,1914.7,1129.2,1055.7,1133.8,7.3,201
L,1509380,1509502,124,929.2,1228.0,775.6,1435.9,2.7,423
L,1510078,1510090,14,797.5,1240.0,704.0,1256.9,0.8,70
L,1510706,1510720,16,683.8,1252.8,561.5,1285.2,1.1,84
L,1511000,1511016,18,543.6,1294.5,694.1,1253.9,1.3,96
L,1511228,1511238,12,718.4,1244.2,653.5,1264.5,0.6,59
L,1512246,1512296,52,743.0,1227.5,1692.9,1063.2,8.2,209
L,1514536,1514576,42,1890.2,1140.6,1206.3,1089.7,5.9,185
L,1515720,1515836,118,1061.1,1145.7,1059.4,1313.1,2.0,620
L,1516558,1516598,42,1069.3,1145.4,1799.0,1125.4,6.2,198
L,1519298,1519344,48,1914.5,1126.3,1164.8,1082.7,6.4,168
L,1520880,1520920,42,1035.4,1118.2,1750.8,1095.6,6.1,199
L,1523104,1523126,24,1897.4,1158.3,1644.8,1100.5,2.3,128
L,1523274,1523290,18,1541.8,1116.0,1394.6,1138.9,1.3,92
L,1523528,1523548,22,1331.0,1160.1,1089.3,1207.1,2.1,126
L,1524162,1524280,120,1021.7,1256.4,855.1,1340.4,1.7,895
L,1524566,1524580,16,858.8,1250.8,745.8,1274.6,1.0,76
L,1525160,1525208,50,761.5,1271.1,1726.3,1100.1,8.3,221
L,1527328,1527368,42,1888.1,1138.5,1222.3,1223.8,5.8,177
L,1527800,1527816,18,1043.6,1301.7,1001.7,1177.4,1.5,110
L,1528266,1528386,122,1047.4,1151.0,1086.8,1308.8,1.9,765
L,1528904,1528918,16,1067.8,1146.3,1063.8,1074.1,0.8,64
L,1529326,1529366,42,1095.5,1056.4,1804.7,1112.2,6.1,194
L,1532014,1532056,44,1956.6,1147.1,2492.1,1344.0,5.2,143
L,1532890,1532906,18,2483.9,1408.6,2304.0,1431.0,1.6,114
L,1533618,1533630,14,2295.5,1453.1,2382.8,1457.0,0.8,68
