tSample,LX,LY,LPupil,RX,RY,RPupil
1780544,1931.0,944.0,817.0,,,
1780548,1929.5,944.7,819.0,,,
1780552,1928.1,945.6,821.0,,,
1780556,1927.7,944.2,823.0,,,
1780560,1928.4,943.1,824.0,,,
1780564,1929.3,944.6,825.0,,,
1780568,1929.8,946.0,825.0,,,
1780572,1929.4,947.8,825.0,,,
1780576,1929.3,946.2,826.0,,,
1780580,1929.6,944.1,828.0,,,
1780584,1930.0,942.7,830.0,,,
1780588,1929.9,941.8,832.0,,,
1780592,1929.3,941.4,833.0,,,
1780596,1928.3,942.0,836.0,,,
1780600,1927.6,943.8,838.0,,,
1780604,1927.4,945.4,840.0,,,
1780608,1927.3,945.9,841.0,,,
1780612,1927.4,945.3,842.0,,,
1780616,1926.7,943.7,842.0,,,
1780620,1925.7,941.8,845.0,,,
1780624,1924.4,940.2,848.0,,,
1780628,1923.7,938.8,851.0,,,
1780632,1923.7,938.0,851.0,,,
1780636,1923.6,938.0,851.0,,,
1780640,1922.8,938.3,850.0,,,
1780644,1922.4,938.1,852.0,,,
1780648,1922.2,937.5,853.0,,,
1780652,1922.3,937.0,855.0,,,
1780656,1921.9,936.3,856.0,,,
1780660,1921.0,934.9,856.0,,,
1780664,1920.2,932.6,857.0,,,
1780668,1920.0,929.9,858.0,,,
1780672,1920.4,928.6,860.0,,,
1780676,1920.9,928.1,862.0,,,
1780680,1920.9,927.9,864.0,,,
1780684,1920.0,927.3,866.0,,,
1780688,1918.9,926.9,866.0,,,
1780692,1917.5,926.7,867.0,,,
1780696,1916.5,926.3,867.0,,,
1780700,1915.3,925.6,868.0,,,
1780704,1913.3,924.2,869.0,,,
1780708,1911.6,922.8,871.0,,,
1780712,1910.2,922.1,872.0,,,
1780716,1910.0,921.6,875.0,,,
1780720,1909.5,919.8,877.0,,,
1780724,1907.0,916.3,879.0,,,
1780728,1904.1,913.3,879.0,,,
1780732,1901.3,921.0,874.0,,,
1780736,1898.5,953.1,862.0,,,
1780740,1895.7,1066.6,827.0,,,
1780744,1884.1,1328.0,755.0,,,
1780748,1824.8,1799.0,634.0,,,
1780752,1684.5,2548.3,463.0,,,
1780756,1522.6,3234.2,329.0,,,
1780760,1382.3,3270.0,235.0,,,
1780764,1311.2,3270.0,194.0,,,
1780768,1311.4,3270.0,194.0,,,
1780772,,,0.0,,,
1780776,,,0.0,,,
1780780,,,0.0,,,
1780784,,,0.0,,,
1780788,,,0.0,,,
1780792,,,0.0,,,
1780796,,,0.0,,,
1780800,,,0.0,,,
1780804,,,0.0,,,
1780808,,,0.0,,,
1780812,,,0.0,,,
1780816,,,0.0,,,
1780820,,,0.0,,,
1780824,,,0.0,,,
1780828,,,0.0,,,
1780832,,,0.0,,,
1780836,,,0.0,,,
1780840,,,0.0,,,
1780844,,,0.0,,,
1780848,,,0.0,,,
1780852,,,0.0,,,
1780856,,,0.0,,,
1780860,,,0.0,,,
1780864,,,0.0,,,
1780868,,,0.0,,,
1780872,1393.0,3270.0,235.0,,,
1780876,1393.4,3270.0,235.0,,,
1780880,1398.8,3270.0,238.0,,,
1780884,1428.9,3270.0,252.0,,,
1780888,1496.1,3270.0,288.0,,,
1780892,1636.5,2964.6,372.0,,,
1780896,1764.5,2582.1,459.0,,,
1780900,1872.7,2251.9,545.0,,,
1780904,1919.3,2042.1,596.0,,,
1780908,1936.5,1897.7,629.0,,,
1780912,1945.2,1751.2,665.0,,,
1780916,1943.5,1621.7,699.0,,,
1780920,1942.1,1480.5,737.0,,,
1780924,1939.1,1355.3,771.0,,,
1780928,1937.1,1254.7,800.0,,,
1780932,1934.2,1164.2,826.0,,,
1780936,1927.0,1102.9,843.0,,,
1780940,1923.5,1036.8,862.0,,,
