eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
R,682155,682415,264,1889.2,1103.8,675
R,682431,682811,384,1977.1,1057.5,709
R,683207,686847,3644,1941.7,1036.6,773
R,686899,687011,116,2671.0,1569.8,521
R,687031,687051,24,2885.7,1782.9,321
R,687107,687127,24,2983.9,2108.7,250
R,687467,687503,40,3018.6,2235.4,196
R,687523,687695,176,3054.7,2140.5,228
R,687727,687747,24,3067.3,2152.3,242
R,687763,687799,40,3107.6,2253.1,240
R,687827,687911,88,3107.5,2307.7,241
R,687939,688151,216,3070.8,2322.5,267
R,688175,688435,264,3088.2,2344.2,251
R,688455,688535,84,3079.5,2348.3,255
R,688559,688619,64,3047.2,2400.5,265
R,688939,689003,68,2964.7,2594.8,265
R,689019,689095,80,3040.3,2477.9,287
R,689491,692067,2580,1894.3,1088.3,662
R,692131,692199,72,2613.5,1320.1,748
R,692303,692403,104,3008.6,2321.8,327
R,692811,700067,7260,1906.5,1049.6,695
R,700083,701027,948,2126.5,966.9,822
R,701127,701323,200,2980.4,2233.1,225
R,701687,701719,36,3056.6,1750.4,100
R,701775,702027,256,2028.5,1142.7,643
R,702143,702167,28,2816.4,1988.4,440
R,702187,702215,32,3039.4,2003.6,322
R,702235,702711,480,3008.6,2291.6,258
R,702767,702835,72,2948.5,2306.2,266
R,702859,702883,28,3012.6,2326.9,253
R,703183,705959,2780,1923.3,1093.7,649
R,705975,706019,48,2062.4,1525.0,370
R,706039,706711,676,1980.6,1293.7,517
R,706827,707235,412,2909.9,2359.6,287
R,707519,707559,44,3012.3,1623.1,64
R,707627,710767,3144,1898.9,1098.5,603
R,710815,710867,56,1172.7,1070.2,651
R,710895,711791,900,898.5,1166.7,566
R,712031,713339,1312,1892.3,1010.2,754
R,713367,713575,212,1468.9,964.7,820
R,713607,713991,388,1910.4,999.6,781
R,714011,714103,96,2027.1,1310.9,697
R,714123,716451,2332,1858.2,1066.5,709
R,716519,716819,304,850.8,1118.6,728
R,717123,717399,280,1451.3,1193.6,508
R,717427,718115,692,1905.1,1115.0,660
R,718131,722739,4612,1937.2,1103.3,718
R,722823,723671,852,700.2,1177.7,572
R,723735,728527,4796,1844.2,1103.3,547
R,729747,730915,1172,1753.1,996.7,563
R,730935,734243,3312,1942.5,1059.5,750
R,734347,734519,176,2889.8,2280.9,282
R,734859,734899,44,3132.8,1699.1,68
R,734943,735651,712,1895.7,1089.9,729
R,735691,735739,52,2309.2,1304.0,714
R,735755,735783,32,2325.0,1413.2,676
R,735803,735899,100,2294.0,1587.2,615
R,735915,735955,44,2244.1,1458.4,628
R,735971,736147,180,2163.1,1287.6,657
R,736239,736459,224,3061.0,2373.3,248
R,736755,736779,28,3177.8,2511.0,55
R,736863,737475,616,2999.3,2053.9,194
R,737495,737519,28,2930.1,2256.2,203
R,737559,737579,24,2969.0,2142.6,181
R,737699,737719,24,2882.7,1579.0,65
R,737759,741179,3424,1854.3,1139.5,544
R,741207,741255,52,1824.1,1383.9,333
R,741283,741367,88,1926.1,1537.5,305
R,741967,742303,340,1114.7,998.5,702
R,742655,743891,1240,1892.3,1218.1,557
R,743907,743963,60,1860.0,1349.3,591
R,743979,744071,96,1906.1,1469.8,582
R,744087,744123,40,2036.6,1586.9,544
R,744151,744211,64,2037.5,1568.7,536
R,744235,744355,124,2049.8,1552.7,523
R,744375,744435,64,2062.6,1664.6,480
R,744459,744591,136,2071.5,1815.8,438
R,744647,747351,2708,1833.1,1040.3,697
R,747555,748623,1072,1769.7,1378.9,447
R,748643,748707,68,1997.4,1673.8,292
R,748723,748803,84,1990.7,1579.7,260
R,748839,748959,124,2021.4,1643.7,219
R,749219,749271,56,2037.7,1852.7,227
R,749367,749391,28,2043.5,1830.8,254
R,750099,750191,96,2019.3,1760.0,324
R,750263,754995,4736,1858.9,1151.8,533
R,756039,762291,6256,1871.2,1022.9,708
R,762315,763895,1584,1879.3,1142.6,665
R,763911,764035,128,1974.5,1478.5,464
R,764051,764143,96,2045.9,1666.6,426
R,764159,764187,32,2065.9,1800.7,418
R,764207,764263,60,2006.1,1584.0,458
R,764311,764359,52,2097.2,1838.2,434
R,764375,764435,64,2121.1,1868.7,433
R,764527,764639,116,2117.9,1864.1,435
R,764655,764823,172,2120.0,2099.2,373
R,764847,764867,24,2118.5,2015.5,373
R,764911,764991,84,2115.2,1887.1,366
R,765007,765039,36,2087.0,1756.2,363
R,765119,765235,120,2052.3,1641.4,345
R,765267,765335,72,2029.0,1581.8,337
R,765355,765455,104,1981.1,1410.8,361
R,765471,771367,5900,1855.4,1097.9,492
R,771515,774247,2736,1896.9,1241.2,388
R,774439,774463,28,2029.7,1906.4,308
R,774523,779691,5172,1843.9,1135.6,403
R,779711,779935,228,1814.8,1246.9,324
R,780159,780219,64,1804.2,1176.8,382
R,780527,780675,152,1777.4,1179.1,449
R,780723,780959,240,1127.0,1189.6,524
R,781331,781927,600,1909.7,1228.5,445
R,781943,782479,540,1968.2,1391.4,450
R,782495,782555,64,1994.4,1614.2,370
R,782595,782859,268,1879.4,1254.9,494
R,782899,783127,232,1169.8,1012.6,614
R,783143,784363,1224,999.0,1097.8,563
R,785147,786443,1300,1814.9,1067.3,373
R,786503,786791,292,1246.4,204.2,296
R,794995,795139,148,1641.3,978.5,382
R,795167,797975,2812,1905.8,1043.8,462
R,798007,798191,188,2375.6,1159.4,744
R,798215,798291,80,2528.9,1434.6,540
R,798659,799127,472,1734.4,1051.9,595
R,799143,802351,3212,1940.8,1140.5,685
R,802367,802475,112,2116.0,1682.4,406
R,802491,802543,56,2191.6,1821.8,318
R,803519,803615,100,2793.7,2702.3,282
R,803639,804407,772,2914.5,2241.1,212
R,804439,807671,3236,2965.3,2426.4,208
R,808199,808223,28,2832.0,1641.6,98
R,808267,810775,2512,1857.5,1056.1,615
R,810891,810931,44,2722.9,2099.1,413
R,810983,811091,112,2992.7,1875.7,214
R,811107,811135,32,3014.0,1769.8,162
R,811255,811307,56,1961.7,1197.2,269
R,811363,811435,76,2797.7,1471.0,272
R,811487,811507,24,2908.1,1662.7,197
R,811523,811743,224,2961.1,1743.4,205
R,811759,811783,28,2769.3,1781.5,313
R,811803,812031,232,2673.9,1894.1,431
R,812371,812395,28,3188.0,1951.2,65
R,812487,812535,52,2078.1,1948.9,341
R,812567,812859,296,2137.0,1957.8,373
R,812915,812963,52,2075.5,1595.3,434
R,813031,813075,48,2206.1,1879.5,385
R,813107,813179,76,2937.0,2538.2,239
R,813199,813243,48,2916.4,2237.7,270
R,813263,813363,104,2949.5,2036.9,264
R,813379,813643,268,2964.5,1895.3,255
R,814763,814803,44,2995.4,1530.1,80
R,814843,818923,4084,1893.2,1142.9,421
R,818947,819495,552,2050.7,1425.3,390
R,819515,819703,192,1968.5,1535.4,480
R,819747,819771,28,2063.4,1646.7,476
R,819791,819811,24,2089.5,1755.1,455
R,819831,820047,220,2126.2,1891.8,439
R,820067,820087,24,2089.4,1706.3,470
R,820107,820263,160,2125.9,1936.0,456
R,820483,820647,168,2069.2,1590.5,548
R,820671,820735,68,2091.1,1718.2,485
R,820751,820931,184,2099.0,2005.7,355
R,820947,821523,580,2068.9,1923.7,316
R,821551,821595,48,2044.1,2040.6,289
R,821791,821983,196,2035.6,1909.3,304
R,822019,822083,68,2063.8,2075.9,278
R,822195,822379,188,2049.2,1952.3,307
R,822443,822471,32,2912.5,2020.3,86
R,822559,822631,76,2055.0,1960.9,307
R,822687,822723,40,1965.4,1462.3,361
R,822747,826379,3636,1811.4,1038.4,523
R,826655,826699,48,1959.0,1595.2,327
R,826723,827003,284,1871.9,1395.0,401
R,827019,827483,468,1848.1,1492.5,409
R,827523,828047,528,1758.8,1638.6,381
R,828063,828247,188,1670.3,1581.4,415
R,828271,828923,656,1421.8,1070.4,589
R,828939,829743,808,1830.7,1250.3,481
R,829775,830019,248,1932.3,1375.8,497
R,830035,830247,216,1966.0,1511.4,469
R,830267,830483,220,2003.1,1704.3,408
R,830499,830523,28,2038.2,1817.1,343
R,830539,830611,76,1989.1,1672.0,338
R,830631,839835,9208,1830.6,1050.9,383
R,839875,839999,128,2505.7,1286.4,583
R,840019,840151,136,2604.4,1470.3,422
R,840463,841159,700,1824.5,1115.5,386
R,841223,841315,96,2785.1,1740.1,316
R,841331,841531,204,2820.5,1529.2,282
R,841551,842287,740,2692.5,1471.5,353
R,842331,842383,56,2137.7,1327.4,425
R,842455,844191,1740,2691.1,1537.8,462
R,844231,844263,36,2949.7,2555.9,133
R,844355,847663,3312,1870.5,1116.3,525
R,847679,847803,128,2008.1,1581.0,519
R,847819,847847,32,2068.5,1890.3,440
R,848223,848487,268,2613.9,1265.5,274
R,848807,850091,1288,1864.0,1250.9,340
R,850107,850211,108,2055.5,1899.8,339
R,850227,850251,28,2045.9,1812.2,370
R,850275,850303,32,2014.9,1597.5,415
R,850355,859359,9008,1823.9,1039.9,407
R,859483,860155,676,1823.9,1150.1,276
R,860171,861123,956,1830.0,1050.7,350
R,861167,861207,44,1900.5,1572.1,308
R,861231,862751,1524,1847.2,1105.5,283
R,862767,863187,424,1953.9,1413.3,219
R,863311,863351,44,1963.9,1393.4,169
R,863379,863535,160,1962.9,1459.3,196
R,863559,863651,96,1985.8,1483.4,203
R,863727,863771,48,2004.3,1522.8,173
R,864059,864079,24,1968.7,1526.2,175
