eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
L,3791370,3791854,488,2968.0,922.8,329
L,3791886,3792042,160,2972.1,1218.9,306
L,3792070,3792302,236,2976.1,993.1,323
L,3792318,3793194,880,2946.1,916.6,352
L,3793266,3794222,960,1909.9,1148.0,412
L,3794274,3794526,256,1112.7,1261.5,423
L,3794574,3794846,276,1193.7,1928.7,427
L,3794894,3795022,132,1179.8,1440.4,424
L,3795042,3795702,664,1157.5,1361.7,417
L,3795722,3796174,456,1128.8,1311.0,310
L,3796194,3796830,640,1328.5,1224.7,337
L,3796862,3797762,904,1950.6,1059.5,404
L,3797826,3798022,200,3004.2,1042.2,408
L,3798078,3798398,324,2975.7,1831.4,430
L,3798438,3798526,92,2849.3,1501.3,435
L,3798554,3799646,1096,2917.7,1147.7,395
L,3799666,3800250,588,3125.3,1111.4,313
L,3800322,3801398,1080,1978.4,1175.3,404
L,3801458,3801750,296,1142.6,1196.3,429
L,3801794,3802138,348,654.9,1012.8,412
L,3802166,3802318,156,1073.7,1067.8,429
L,3802338,3802658,324,1249.2,1043.6,432
L,3802674,3803510,840,1180.3,1052.4,310
L,3803558,3805066,1512,1911.8,1099.2,327
L,3805086,3805526,444,1712.9,1119.9,386
L,3805610,3805638,32,-188.1,1076.5,383
L,3805778,3805874,100,-170.4,994.5,385
L,3805914,3806198,288,1176.1,1178.5,392
L,3806218,3807162,948,1206.3,1071.1,292
L,3807206,3808538,1336,1902.6,1069.8,356
L,3808586,3808746,164,1278.8,1214.9,386
L,3808790,3809002,216,1038.3,1800.7,379
L,3809026,3809306,284,1137.6,1957.1,395
L,3809362,3809974,616,1088.9,1401.6,397
L,3809990,3810790,804,1011.9,1300.1,267
L,3810806,3811002,200,1134.2,1295.1,283
L,3811050,3812282,1236,1921.8,1080.9,327
L,3812334,3812442,112,2611.6,1186.0,360
L,3812470,3812662,196,2990.5,1148.9,367
L,3812702,3813154,456,3270.0,1070.8,366
L,3813174,3813246,76,3270.0,977.7,376
L,3813278,3814166,892,2927.6,923.6,296
L,3814186,3814670,488,2965.4,1031.0,229
L,3814718,3814766,52,3270.0,1076.5,228
L,3814850,3815982,1136,1913.9,1083.5,296
L,3816022,3816150,132,2441.3,1068.1,322
L,3816214,3816534,324,2907.5,1875.7,349
L,3816574,3816658,88,3013.2,1518.8,363
L,3816686,3816954,272,2961.7,1246.5,369
L,3816970,3817666,700,2904.1,1124.4,281
L,3817690,3818094,408,3122.4,1102.7,239
