eye,tStart,tEnd,duration
R,2125629,2125737,112
R,2135709,2135769,64
R,2136221,2136521,304
R,2137949,2137981,36
R,2138861,2138893,36
R,2139573,2139605,36
R,2141405,2141437,36
R,2142897,2143045,152
R,2143365,2143533,172
R,2144605,2144637,36
R,2146197,2146229,36
R,2147957,2147969,16
R,2148277,2148373,100
R,2148877,2148909,36
R,2151129,2151161,36
R,2151705,2151737,36
R,2152277,2152309,36
R,2154705,2154753,52
R,2155425,2155429,8
R,2155917,2156069,156
R,2156217,2156249,36
R,2160813,2160845,36
R,2161965,2162125,164
R,2168161,2168173,16
R,2168737,2168821,88
R,2169201,2169401,204
R,2169793,2169825,36
R,2170505,2170537,36
R,2172693,2172725,36
R,2174313,2174505,196
R,2174777,2174841,68
R,2176841,2176873,36
R,2178305,2178337,36
R,2179401,2179433,36
R,2180809,2180981,176
R,2182433,2182465,36
R,2183001,2183033,36
R,2185609,2185641,36
R,2187817,2187849,36
R,2192673,2192705,36
R,2193661,2193693,36
R,2198521,2198553,36
R,2199717,2199749,36
R,2210689,2210721,36
R,2211745,2211777,36
R,2211937,2212021,88
R,2212313,2212345,36
R,2213305,2213337,36
R,2214661,2214693,36
R,2219161,2219193,36
R,2222533,2222565,36
R,2228761,2228905,148
R,2234609,2234997,392
R,2235157,2235733,580
R,2236045,2236061,20
R,2236185,2240037,3856
R,2240573,2241405,836
R,2242781,2242813,36
R,2243417,2243449,36
R,2244013,2244045,36
R,2246301,2246301,4
R,2246749,2246781,36
R,2249281,2249313,36
R,2250869,2250901,36
R,2251441,2251889,452
R,2263893,2264189,300
R,2267701,2267733,36
R,2268605,2268637,36
R,2270169,2270201,36
R,2270885,2270917,36
R,2271645,2271677,36
R,2272365,2272409,48
R,2273133,2273165,36
R,2274217,2274249,36
R,2278065,2278129,68
R,2284797,2284921,128
R,2285449,2285481,36
R,2299773,2299869,100
R,2300133,2300205,76
R,2306573,2306601,32
R,2322517,2322653,140
R,2328993,2329025,36
R,2329561,2329593,36
R,2331341,2331393,56
R,2337133,2337313,184
R,2337525,2338557,1036
R,2339157,2339305,152
R,2343761,2343797,40
R,2346237,2346481,248
R,2350289,2350381,96
R,2350577,2350729,156
R,2351637,2351933,300
R,2352261,2352401,144
R,2355865,2355881,20
R,2356933,2357293,364
R,2358041,2358073,36
R,2365241,2365369,132
R,2365829,2365873,48
R,2370193,2370209,20
R,2371473,2371709,240
R,2371925,2372153,232
R,2376497,2376561,68
R,2376681,2376789,112
R,2377249,2377357,112
R,2377681,2378241,564
R,2386045,2386073,32
R,2388481,2388573,96
R,2388697,2399789,11096
R,2399961,2400205,248
R,2401005,2401069,68
R,2402241,2402381,144
R,2402453,2402521,72
R,2405753,2405793,44
R,2406337,2407477,1144
R,2407737,2407737,4
R,2408113,2409125,1016
R,2409325,2409405,84
R,2409669,2410065,400
R,2410457,2410853,400
R,2411477,2414609,3136
R,2414825,2415073,252
R,2421185,2421289,108
R,2421601,2421677,80
R,2425893,2425913,24
R,2427445,2427549,108
R,2431629,2431633,8
R,2432441,2432541,104
R,2432801,2433029,232
R,2439689,2439733,48
R,2440253,2440285,36
R,2442041,2442053,16
R,2446341,2446661,324
R,2452177,2452349,176
R,2455985,2456037,56
R,2457425,2457729,308
R,2462865,2463325,464
R,2464585,2464993,412
R,2471793,2472125,336
R,2477357,2477809,456
R,2478789,2478945,160
R,2483845,2483845,4
R,2484285,2484389,108
R,2487801,2487813,16
R,2489565,2489681,120
R,2497409,2497509,104
R,2497777,2497833,60
R,2503481,2503485,8
R,2503977,2504193,220
R,2508513,2508857,348
R,2515073,2515257,188
R,2515513,2515725,216
R,2520381,2520465,88
R,2527265,2527621,360
R,2531549,2531669,124
R,2531781,2532005,228
R,2532749,2533005,260
R,2533777,2533981,208
R,2534061,2607021,72964
R,2607225,2607305,84
R,2608277,2608309,36
R,2608841,2608873,36
R,2609921,2610001,84
R,2610937,2611109,176
R,2611897,2611953,60
R,2612505,2612693,192
R,2613313,2613385,76
R,2614533,2614589,60
R,2614865,2614977,116
R,2619505,2619609,108
R,2620049,2620105,60
R,2627757,2627921,168
R,2635481,2635537,60
R,2636237,2636413,180
R,2636845,2637193,352
R,2641389,2641633,248
R,2642017,2642157,144
R,2648073,2648429,360
R,2652781,2652809,32
R,2664881,2665117,240
R,2671921,2672057,140
R,2676837,2676881,48
R,2679529,2679561,36
R,2686509,2686541,36
R,2687921,2688141,224
R,2690321,2690353,36
R,2693381,2693553,176
R,2694601,2694781,184
R,2695393,2695425,36
R,2697501,2697533,36
R,2701673,2701705,36
R,2702261,2702309,52
R,2702977,2703009,36
R,2703569,2703673,108
R,2704389,2704421,36
R,2705177,2705209,36
R,2706497,2706789,296
R,2707541,2707713,176
R,2708641,2708673,36
R,2709213,2709245,36
R,2710077,2710425,352
R,2711393,2711425,36
R,2712349,2712521,176
R,2713361,2713993,636
R,2714521,2714553,36
R,2715329,2715433,108
R,2715961,2715993,36
R,2716825,2716857,36
R,2718489,2718521,36
R,2719261,2719293,36
R,2720025,2720257,236
R,2720381,2720501,124
R,2720937,2720969,36
R,2721825,2722269,448
R,2722989,2723761,776
R,2724697,2724729,36
R,2725709,2725813,108
R,2726425,2726457,36
R,2727425,2727457,36
R,2728069,2728101,36
R,2728405,2728661,260
R,2729533,2729565,36
R,2730101,2730553,456
R,2731381,2731513,136
R,2732413,2732753,344
R,2733701,2734073,376
R,2734613,2734645,36
R,2735513,2735533,24
R,2735961,2736177,220
R,2736709,2736741,36
R,2737281,2737313,36
R,2738109,2738281,176
R,2739065,2739445,384
R,2740965,2740997,36
R,2743961,2744045,88
R,2745513,2745549,40
R,2745973,2746077,108
R,2746317,2746349,36
R,2746465,2746929,468
R,2747357,2747389,36
R,2747565,2747677,116
R,2747921,2748025,108
R,2748425,2748497,76
R,2749317,2749385,72
R,2749597,2749937,344
R,2750145,2750337,196
R,2751009,2751041,36
R,2752325,2752357,36
R,2754725,2754757,36
R,2756077,2756109,36
R,2759505,2759537,36
R,2761821,2761833,16
R,2762153,2762237,88
R,2762433,2762465,36
R,2771477,2771569,96
R,2773621,2773653,36
R,2774897,2774929,36
R,2780693,2780753,64
R,2781041,2781073,36
R,2786677,2786793,120
R,2791457,2791697,244
R,2792297,2792329,36
R,2794033,2794065,36
R,2795129,2795213,88
R,2796161,2796265,108
R,2797049,2797421,376
R,2798225,2798257,36
R,2800457,2800489,36
R,2801237,2801873,640
R,2802045,2802077,36
R,2802653,2802685,36
R,2803257,2803289,36
R,2804257,2804361,108
R,2807541,2807573,36
R,2808533,2808645,116
R,2808769,2809629,864
R,2810229,2810293,68
R,2810633,2810665,36
R,2810853,2811025,176
R,2811205,2811977,776
R,2813037,2813117,84
R,2818945,2819485,544
R,2824013,2824421,412
R,2828133,2828193,64
R,2829561,2829685,128
R,2835321,2835737,420
R,2840965,2840965,4
R,2841689,2841993,308
R,2844925,2845077,156
R,2849773,2850069,300
R,2854773,2854921,152
R,2855277,2855329,56
R,2859517,2859605,92
R,2861061,2861305,248
R,2864953,2864961,12
R,2865857,2865869,16
R,2867281,2867781,504
R,2868065,2868253,192
R,2876441,2876453,16
R,2876637,2878045,1412
R,2878681,2883609,4932
R,2883661,2883733,76
R,2883825,2883865,44
R,2883941,2890337,6400
R,2890501,2891985,1488
R,2892057,2898697,6644
R,2898765,2912609,13848
R,2912969,2913065,100
R,2913613,2913669,60
R,2914209,2914281,76
R,2914869,2915069,204
R,2915441,2915493,56
R,2915669,2915821,156
R,2915957,2917289,1336
R,2918225,2921061,2840
R,2921641,2921701,64
R,2926969,2927017,52
R,2927077,2927181,108
R,2927229,2927257,32
R,2927345,2927517,176
R,2928437,2928609,176
R,2929157,2929229,76
R,2930053,2930101,52
R,2930701,2930857,160
R,2935541,2935741,204
R,2936749,2937289,544
R,2937361,2937497,140
R,2937689,2937985,300
R,2938281,2938309,32
R,2941129,2941533,408
R,2942081,2942125,48
R,2942845,2942913,72
R,2948613,2948653,44
R,2948717,2948725,12
R,2948801,2949913,1116
R,2949965,2950125,164
R,2950209,2950209,4
R,2950269,2950269,4
R,2950361,2950537,180
R,2954665,2954849,188
R,2955725,2955981,260
R,2959425,2959461,40
R,2959649,2959717,72
R,2962377,2962413,40
R,2964329,2964429,104
R,2965069,2965693,628
R,2966609,2966637,32
R,2967577,2967657,84
R,2968897,2968901,8
R,2970725,2970829,108
R,2972941,2973053,116
R,2974337,2974401,68
R,2975777,2975829,56
R,2978849,2978877,32
R,2981325,2981433,112
R,2982365,2982429,68
R,2985437,2985505,72
R,2991109,2991201,96
R,2991425,2991509,88
R,2994805,2994889,88
R,3004793,3004817,28
R,3005281,3005337,60
R,3016725,3016801,80
R,3016941,3017585,648
R,3017629,3020041,2416
R,3020637,3020769,136
R,3023953,3024113,164
R,3031209,3031249,44
R,3035517,3035593,80
R,3052405,3052513,112
R,3055385,3055457,76
R,3057637,3057725,92
R,3058305,3058545,244
R,3058985,3059285,304
R,3062793,3063089,300
R,3076973,3077097,128
R,3077605,3077713,112
R,3086645,3087109,468
R,3087345,3099313,11972
R,3099585,3099589,8
R,3099869,3099985,120
R,3103813,3104169,360
R,3119817,3119985,172
