eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,2142773,2143189,420,918.2,1202.4,1637.6,1752.1,8.8,522
R,2143305,2143661,360,1678.4,1597.5,2017.3,1676.8,3.1,587
R,2144597,2144645,52,1678.4,1597.5,2017.3,1676.8,3.1,0
R,2145185,2145229,48,1921.1,1061.1,2946.3,1205.2,9.1,261
R,2146189,2146237,52,1921.1,1061.1,2946.3,1205.2,9.2,0
R,2146657,2146665,12,3068.6,1267.3,3021.4,1292.4,0.5,64
R,2147345,2147357,16,3006.2,1299.9,3094.0,1290.6,0.8,66
R,2147877,2148101,228,3101.9,1263.9,2017.4,1393.5,9.6,914
R,2148197,2148521,328,2042.9,1183.7,2052.3,1523.8,4.1,788
R,2148869,2148917,52,2042.9,1183.7,2052.3,1523.8,4.1,0
R,2150393,2150449,60,1884.9,1062.0,1046.9,1261.2,7.5,164
R,2150937,2150945,12,894.7,1302.4,832.1,1312.8,0.5,66
R,2151121,2151169,52,894.7,1302.4,832.1,1312.8,0.5,0
R,2151697,2151745,52,894.7,1302.4,832.1,1312.8,0.5,0
R,2152269,2152317,52,894.7,1302.4,832.1,1312.8,0.5,0
R,2154353,2154361,12,836.8,1465.4,813.5,1405.9,0.7,90
R,2154393,2154401,12,815.5,1369.2,817.1,1323.8,0.5,66
R,2154593,2154665,76,785.4,1344.9,106.0,2945.0,18.1,439
R,2154697,2154865,172,-92.3,3006.0,1122.5,2523.2,10.5,323
R,2154901,2154937,40,1031.6,2363.7,905.0,2032.1,3.9,141
R,2155257,2155381,128,864.6,1589.8,394.9,2715.1,12.9,209
R,2155417,2155529,116,557.2,2848.6,1796.0,2088.5,12.9,900
R,2155809,2156197,392,1730.5,1149.8,1891.8,1625.1,5.9,1219
