subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV021,R,370,2,0,1,1,0,Response,,,,,,,,,,,,
SV021,R,371,3,3,0,1,3,Response,,,,,,,,2.5,2.5,860.0,860.0,300.0
SV021,R,372,2,2,1,0,2,Response,,,,,,,,,,,,
SV021,R,373,3,2,1,1,2,Response,,,,,,,,,,,,
SV021,R,374,2,3,1,1,3,Response,,,,,,,,,,,,
SV021,R,375,3,3,1,0,3,Response,,,,,,,,,,,,
SV021,R,376,3,2,0,0,2,Response,,,,,,,,,,,,
SV021,R,377,2,0,0,1,0,Response,,,,,,,,,,,,
SV021,R,378,2,2,1,0,2,Response,,,,,,,,,,,,
SV021,R,379,3,2,1,1,2,Response,,,,,,,,,,,,
SV021,R,380,2,0,1,1,0,Response,2001.2,2001.2,955.7,955.7,1039.0,1039.0,252.0,0.45,0.5,54.5,56.0,12.0
SV021,R,381,3,2,1,1,2,Response,,,,,,,,,,,,
SV021,R,382,3,2,0,1,2,Response,,,,,,,,,,,,
SV021,R,383,3,2,0,0,2,Response,,,,,,,,,,,,
